Daily Runoff....
StartDate: , 01/02/2006 12:00:00
EndDate: , 10/31/2009 12:00:00

Time [0:MM/dd/yyyy hh:mm:ss], Runoff
01/02/2006 12:00:00,9.74628658691881,
01/03/2006 12:00:00,11.3603677184983,
01/04/2006 12:00:00,10.1403965528071,
01/05/2006 12:00:00,9.10810198600561,
01/06/2006 12:00:00,8.27272885896606,
01/07/2006 12:00:00,7.56544434311324,
01/08/2006 12:00:00,6.97379770331903,
01/09/2006 12:00:00,6.48741110242026,
01/10/2006 12:00:00,6.0543355055349,
01/11/2006 12:00:00,5.67346869379124,
01/12/2006 12:00:00,6.09596218982536,
01/13/2006 12:00:00,5.72167488517449,
01/14/2006 12:00:00,6.48846319192581,
01/15/2006 12:00:00,6.03320657556668,
01/16/2006 12:00:00,5.65492983207554,
01/17/2006 12:00:00,5.56461306661988,
01/18/2006 12:00:00,11.425058472018,
01/19/2006 12:00:00,10.1335848973596,
01/20/2006 12:00:00,9.1046028683083,
01/21/2006 12:00:00,8.32848988420198,
01/22/2006 12:00:00,8.76578047565416,
01/23/2006 12:00:00,8.32851384600662,
01/24/2006 12:00:00,7.8513614326335,
01/25/2006 12:00:00,7.23716733621361,
01/26/2006 12:00:00,6.69403581641822,
01/27/2006 12:00:00,6.21951157262625,
01/28/2006 12:00:00,5.81732836025518,
01/29/2006 12:00:00,5.46564808105157,
01/30/2006 12:00:00,5.66405271807418,
01/31/2006 12:00:00,5.60457554543178,
02/01/2006 12:00:00,5.25341207695003,
02/02/2006 12:00:00,4.94509981119273,
02/03/2006 12:00:00,4.6765561913403,
02/04/2006 12:00:00,4.44348306574949,
02/05/2006 12:00:00,5.22944410337042,
02/06/2006 12:00:00,4.91737035392982,
02/07/2006 12:00:00,4.66147237173866,
02/08/2006 12:00:00,4.43023308590657,
02/09/2006 12:00:00,4.21971790771274,
02/10/2006 12:00:00,4.01889127742461,
02/11/2006 12:00:00,3.84379952695985,
02/12/2006 12:00:00,4.13677304573722,
02/13/2006 12:00:00,3.9430422606953,
