Daily Runoff....
StartDate: , 01/02/2006 12:00:00
EndDate: , 10/31/2009 12:00:00

Time [0:MM/dd/yyyy hh:mm:ss], Runoff
01/02/2006 12:00:00,9.74817574085863,
01/03/2006 12:00:00,11.5666392606027,
01/04/2006 12:00:00,10.1716741687467,
01/05/2006 12:00:00,9.02471866313613,
01/06/2006 12:00:00,8.11736027424798,
01/07/2006 12:00:00,7.36270663772941,
01/08/2006 12:00:00,6.74095232683444,
01/09/2006 12:00:00,6.23674899808317,
01/10/2006 12:00:00,5.79200618653061,
01/11/2006 12:00:00,5.40169924117542,
01/12/2006 12:00:00,5.87100878854554,
01/13/2006 12:00:00,5.48287680739606,
01/14/2006 12:00:00,6.32500984390104,
01/15/2006 12:00:00,5.84448022959619,
01/16/2006 12:00:00,5.44821864004094,
01/17/2006 12:00:00,5.36521562152303,
01/18/2006 12:00:00,11.9602085019799,
01/19/2006 12:00:00,10.4057334567997,
01/20/2006 12:00:00,9.21065345249597,
01/21/2006 12:00:00,8.32667245725668,
01/22/2006 12:00:00,8.81402449595245,
01/23/2006 12:00:00,8.32258045586109,
01/24/2006 12:00:00,7.80047470845146,
01/25/2006 12:00:00,7.12950740720541,
01/26/2006 12:00:00,6.54536613355797,
01/27/2006 12:00:00,6.04187346912163,
01/28/2006 12:00:00,5.6204392741601,
01/29/2006 12:00:00,5.25372538180075,
01/30/2006 12:00:00,5.47905032321051,
01/31/2006 12:00:00,5.42821428526612,
02/01/2006 12:00:00,5.06156003486635,
02/02/2006 12:00:00,4.7426958843553,
02/03/2006 12:00:00,4.46744020932079,
02/04/2006 12:00:00,4.22931274551968,
02/05/2006 12:00:00,5.08186161670719,
02/06/2006 12:00:00,4.7538251938217,
02/07/2006 12:00:00,4.48790570042874,
02/08/2006 12:00:00,4.24941903211273,
02/09/2006 12:00:00,4.03375650612975,
02/10/2006 12:00:00,3.82892496084707,
02/11/2006 12:00:00,3.65100219533489,
02/12/2006 12:00:00,3.97076664526171,
02/13/2006 12:00:00,3.77164397866992,
02/14/2006 12:00:00,3.600395309791,
02/15/2006 12:00:00,3.44715632645515,
02/16/2006 12:00:00,3.3017561040667,
02/17/2006 12:00:00,3.1525297608311,
02/18/2006 12:00:00,3.01354466927159,
02/19/2006 12:00:00,2.99915223744319,
02/20/2006 12:00:00,2.86836098905598,
02/21/2006 12:00:00,2.77095232082433,
02/22/2006 12:00:00,2.67583164032443,
02/23/2006 12:00:00,2.77743254991558,
02/24/2006 12:00:00,2.66294996412154,
02/25/2006 12:00:00,2.55689220976077,
02/26/2006 12:00:00,2.46697899270883,
02/27/2006 12:00:00,2.37461029947484,
02/28/2006 12:00:00,2.29449171317267,
03/01/2006 12:00:00,2.22414249103396,
03/02/2006 12:00:00,2.14853416976266,
03/03/2006 12:00:00,2.07009888358212,
03/04/2006 12:00:00,1.99332937596612,
03/05/2006 12:00:00,1.92376392216776,
03/06/2006 12:00:00,1.86553571051396,
03/07/2006 12:00:00,1.80648588596991,
03/08/2006 12:00:00,1.74537265509823,
03/09/2006 12:00:00,1.6900192911855,
03/10/2006 12:00:00,1.9202373223854,
03/11/2006 12:00:00,1.93497894138097,
03/12/2006 12:00:00,1.87179726125599,
03/13/2006 12:00:00,1.80356854678376,
03/14/2006 12:00:00,1.74000327761694,
03/15/2006 12:00:00,1.76618454666357,
03/16/2006 12:00:00,1.70598671173648,
03/17/2006 12:00:00,1.65835513209758,
03/18/2006 12:00:00,1.60922842628943,
03/19/2006 12:00:00,1.558188145985,
03/20/2006 12:00:00,1.50921049424789,
03/21/2006 12:00:00,1.90453873433111,
03/22/2006 12:00:00,1.86959976764804,
03/23/2006 12:00:00,1.82076791469058,
03/24/2006 12:00:00,1.7593949114058,
03/25/2006 12:00:00,1.70368618134527,
03/26/2006 12:00:00,1.6548687339127,
03/27/2006 12:00:00,1.61317365674828,
03/28/2006 12:00:00,1.57344048594741,
03/29/2006 12:00:00,1.52991667790834,
03/30/2006 12:00:00,1.48261564437317,
03/31/2006 12:00:00,1.43839662309235,
04/01/2006 12:00:00,1.42641123024934,
04/02/2006 12:00:00,1.5679928093036,
04/03/2006 12:00:00,1.57845438459722,
04/04/2006 12:00:00,1.82482859079215,
04/05/2006 12:00:00,1.75378105671646,
04/06/2006 12:00:00,1.68854852469137,
04/07/2006 12:00:00,1.62931024448097,
04/08/2006 12:00:00,1.570650148283,
04/09/2006 12:00:00,1.65279171810876,
